feature,importance
cf20m130,0.015295936434995383
cf20m393,0.009387373907543406
cf20m394,0.007519663799939735
ca20g072,0.007321285112993792
cf20m_m,0.006142950811408809
cf17j029,0.005687453543941956
cf17j130,0.005341812830010895
cf19l031,0.005166901562915882
cr20m172,0.004393466062538209
cf16i031,0.0037575825408566743
cf20m396,0.0035488753055687994
belbezig_2015,0.0032653246798872715
cs20m103,0.003111412747784925
cp17i199,0.00302468432414571
cf20m388,0.002995223824200366
cf20m029,0.002988106476550456
cf19l130,0.0029040275785519043
cf20m390,0.00278197033185279
cp20l018,0.0026758389440146857
cf18k031,0.0025646910889918217
cf18k029,0.0024719655689295905
cs20m527,0.002459370080032386
cs20m523,0.0024155517221515765
cp13f025,0.0023298760279431008
cf20m025,0.0023259816903191677
cv20l153,0.002276128259836696
cs20m387,0.002266610335027508
cw20m600,0.002249428944196552
cs20m176,0.002247868203994585
cr20m116,0.0022241398892219877
cv20l308,0.0021826712982147
cs20m571,0.0021501019286915835
cf19l128,0.002146606973838061
cf20m456,0.0021138161691851565
cf20m012,0.0020822019287152216
cp20l059,0.0020532418548100395
cs20m474,0.0020522992465430434
cf19l457,0.001990889375520055
cr20m093,0.0019585421068768483
cs20m524,0.0019378915985726053
birthyear_bg,0.001935265816428
cp11d105,0.001928317056808737
cf20m251,0.0018975503717229003
ch18k148,0.00189624035556335
cf20m128,0.0018782780116453068
cs17j277,0.001868035669758683
cf20m166,0.0018119049518645625
ca20g066,0.0017927784697349125
cw11d377,0.0017921420221682638
cf14g028,0.0017719673296596739
cr20m178,0.0017356893868054613
ca20g075,0.0016579757748331758
cr16i133,0.0016506524680153234
cf20m249,0.0016490003324634017
cr20m142,0.0016437527010566555
cw16i052,0.0016310405626427382
cf14g026,0.0016144854853337165
nettoink_2015,0.0016025877221181872
cd17j028,0.001568697662150953
ci20m002,0.0015649604456484667
cw18k428,0.001561868016324297
cw18k412,0.001561104003485525
cf20m397,0.0015481712030123163
cd18k014,0.0014885815357956744
cs20m415,0.0014847870181711187
cv20l117,0.0014645239698438672
cf17j031,0.0014553546943716356
cp20l052,0.001449713915008033
cd20m034,0.001439718256733613
