feature,importance
cf20m130,0.014569594990462065
ca20g072,0.009664709708886221
cf20m393,0.009234708460098773
cf20m394,0.008904972113668919
cf17j029,0.006070977542549372
cf20m388,0.004800212072041177
cf17j130,0.004728543761302717
cs20m176,0.004066810412041377
cf20m029,0.003202782347216271
cf19l031,0.0031929656106512994
cf19l130,0.003188848677382339
belbezig_2015,0.003158327152050333
cf14g026,0.0030743476017960347
cw20m600,0.002970655050376081
cf20m456,0.0029203096055425704
cw16i052,0.002919966878835112
cp11d105,0.002908578870119527
cr20m083,0.0028923221389050013
cp20l018,0.0028266105291550048
cf20m_m,0.0028141464135842398
netinc_2014,0.00270214751981257
cf20m396,0.002656629447301384
cs20m001,0.0025758815136214253
cs20m016,0.0025320987915620208
cf19l128,0.002529316785512492
ch18k148,0.0024662300738782506
cp20l052,0.002446059399517253
cs17j277,0.0023485871497541666
cr18k093,0.002308995433850214
cr20m093,0.0022766304900869727
cf20m128,0.002238139190012589
brutoink_f_2015,0.002208028163295239
ca18f055,0.0021994942144374363
cf17j143,0.0021282106317812577
cs20m103,0.0021152228000573814
cf20m249,0.002106831244418572
cw20m003,0.002094908631988801
cf19l432,0.0020555409137159586
birthyear_bg,0.0020399983986862935
cs20m415,0.0020363123876450118
ca20g074,0.002029912935995526
cs20m571,0.0020166238082310883
cd20m033,0.0020002653764095157
cr20m116,0.0019981900441052858
cp20l039,0.0019429753410804551
cs20m527,0.001934176507347729
cs20m586,0.0019197789661120623
cp20l046,0.0019135274342261255
cd19l014,0.0019110358553007245
cs18k512,0.0018925893673440441
cr20m142,0.0018916155149781844
cf14g028,0.001884003409941215
cd17j028,0.0018664485251065344
cf20m251,0.0018504423769627465
cd20m034,0.0018326406825508457
cv20l308,0.0017756517408997752
cv20l032,0.001774502841726644
cs20m387,0.0017718148379799459
cs20m523,0.0017645992193138227
ci20m006,0.001740453593811253
ca20g075,0.001730588484861073
cv17i147,0.001723758046864532
cw20m002,0.0017157348920591176
cw20m296,0.0017077164447982796
cs20m182,0.001704081216303166
cf20m004,0.00170203441666672
cf20m166,0.0016979988322418649
cr16i117,0.0016971161567198578
cf19l457,0.0016918434794206405
cf16i031,0.0016556467162445188
cw18k428,0.001642117989831604
cp20l032,0.001637175452970041
cf20m024,0.0016369838549508131
cv18j160,0.0016287738326354884
ci20m002,0.001627866815397283
cv17i258,0.0016256488161161542
cf16i393,0.0016123297734793596
cf19l456,0.0015823192734387703
cp20l019,0.0015500884924790626
cf20m002,0.0015393702051369473
brutoink_f_2018,0.0015238061328091135
cv11d165,0.0015226538525894284
cf20m025,0.0015191343627520837
cv19k267,0.0015079869554028846
cp17i199,0.0015034457755973563
cr20m172,0.0014932542107999325
cf20m457,0.0014924840825187857
ci11d326,0.0014850167935946956
cr16i038,0.0014846597259747796
cr20m094,0.001468261672926019
cs20m524,0.0014674988851766102
cw11d377,0.0014647995121777058
cp20l072,0.0014606543409172446
oplcat_2014,0.001455738699178255
cv20l114,0.0014545111953339074
belbezig_2020,0.0014504781465802807
cf20m507,0.0014384046953637153
cw20m045,0.0014328775068861432
cp14g046,0.0014306691009551287
brutoink_f_2014,0.001430630341928918
cp14g148,0.0014299185640993528
